Designator,Val,Package, Mid X, Mid Y,  Rotation,Layer
"J3","PLED","PIXEL-LED-PAD-3",111.750000,-83.550000,-90.000000,bottom
"J4","PLED","PIXEL-LED-PAD-3",141.900000,-83.700000,-90.000000,bottom
"J6","PLED","PIXEL-LED-PAD-4",167.230000,-77.150000,180.000000,bottom
"J9","PLED","PIXEL-LED-PAD-4",106.687500,-84.650000,0.000000,bottom
"AE1","RFANT3216120A5T","FILTER-SMD_1206-2P-L3.2-W1.6-L",150.100000,-77.050000,180.000000,top
"C1","100n","C_0402_1005Metric",131.307500,-78.780000,0.000000,top
"C2","2.2u","C_0402_1005Metric",121.112500,-77.325000,90.000000,top
"C3","100n","C_0402_1005Metric",131.307500,-79.770000,0.000000,top
"C4","100n","C_0402_1005Metric",120.110000,-81.090000,180.000000,top
"C5","100n","C_0402_1005Metric",127.680000,-76.350000,0.000000,top
"C6","1u","C_0402_1005Metric",131.317500,-77.780000,0.000000,top
"C7","1u","C_0402_1005Metric",119.062500,-77.350000,90.000000,top
"C8","15pF","C_0402_1005Metric",131.340000,-85.370000,0.000000,top
"C9","100n","C_0402_1005Metric",122.560000,-76.350000,0.000000,top
"C10","100n","C_0402_1005Metric",126.487500,-85.700000,180.000000,top
"C11","15pF","C_0402_1005Metric",133.367500,-80.770000,0.000000,top
"C12","100n","C_0402_1005Metric",121.190000,-84.430000,-90.000000,top
"C13","100n","C_0402_1005Metric",111.262500,-77.720000,-90.000000,top
"C15","10uF","C_0603_1608Metric",133.850000,-77.650000,-90.000000,top
"C16","100n","C_0402_1005Metric",160.662500,-78.950000,0.000000,top
"C18","10uF","C_0603_1608Metric",142.800000,-80.300000,90.000000,top
"C19","10uF","C_0603_1608Metric",152.050000,-84.750000,90.000000,top
"C20","100n","C_0402_1005Metric",160.100000,-79.950000,0.000000,top
"C21","1.5pF","C_0402_1005Metric",157.720000,-77.070000,-90.000000,top
"C22","1.5pF","C_0402_1005Metric",154.720000,-77.050000,-90.000000,top
"C23","10pF","C_0402_1005Metric",162.750000,-79.950000,180.000000,top
"C24","100n","C_0402_1005Metric",154.850000,-85.750000,0.000000,top
"C25","10pF","C_0402_1005Metric",163.450000,-81.620000,-90.000000,top
"C26","100n","C_0402_1005Metric",151.200000,-80.500000,180.000000,top
"D1","LED, Yellow","LED_0603_1608Metric",110.810000,-84.740000,-90.000000,top
"D3","LED, RED","LED_0603_1608Metric",143.830000,-76.830000,0.000000,top
"J1","PROG","USB_PROG_PAD",107.537500,-84.902500,180.000000,top
"J2","PROG","USB_PROG_PAD",166.250000,-77.197500,0.000000,top
"J11","PROG","USB_PROG_PAD",142.285000,-84.700000,90.000000,top
"L1","2.4nH","L_0402_1005Metric",156.220000,-76.650000,180.000000,top
"L2","2.4nH","L_0402_1005Metric",153.220000,-76.650000,180.000000,top
"R1","22R","R_0402_1005Metric",119.270000,-80.070000,0.000000,top
"R2","10K","R_0402_1005Metric",129.880000,-76.370000,180.000000,top
"R3","200R","R_0402_1005Metric",120.100000,-77.350000,-90.000000,top
"R4","1K","R_0402_1005Metric",131.327500,-80.800000,180.000000,top
"R5","22R","R_0402_1005Metric",119.290000,-79.020000,0.000000,top
"R6","220R","R_0402_1005Metric",110.237500,-78.525000,-90.000000,top
"R7","1K","R_0402_1005Metric",111.237500,-81.900000,-90.000000,top
"R8","0R","R_0402_1005Metric",146.962500,-80.775000,0.000000,top
"R9","10K","R_0402_1005Metric",151.200000,-82.600000,0.000000,top
"R10","470R","R_0402_1005Metric",146.947500,-81.875000,0.000000,top
"R11","22R","R_0402_1005Metric",162.300000,-84.650000,180.000000,top
"R12","10K","R_0402_1005Metric",151.200000,-81.550000,0.000000,top
"R13","22R","R_0402_1005Metric",162.310000,-85.700000,180.000000,top
"R15","10K","R_0402_1005Metric",151.260000,-79.450000,0.000000,top
"R16","10K","R_0402_1005Metric",149.550000,-79.950000,90.000000,top
"R17","220R","R_0402_1005Metric",143.000000,-78.230000,180.000000,top
"U1","SD18OB371-041","RHLGA-5L_L3.5-W2.7-P0.82-MP23ABS1TR",119.120000,-84.230000,0.000000,top
"U2","W25Q128JVS","SOIC-8_5.275x5.275mm_P1.27mm",114.650000,-80.750000,90.000000,top
"U3","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",125.787500,-81.000000,90.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",138.350000,-80.600000,-90.000000,top
"U5","ESP32-C3FH4","ESP32-C3FH4",156.000000,-82.100000,-90.000000,top
"Y1","12MHz, X322512MSB4SI","Crystal_SMD_3225-4Pin_3.2x2.5mm",132.510000,-83.060000,0.000000,top
"Y2","40MHz, X252040MMB4SI","Crystal_SMD_2520-4Pin_2.5x2.0mm",161.340000,-82.245000,-90.000000,top
