"Reference","Value","Footprint","Mouser","Qty"
"AE1","RFANT3216120A5T","External_Library:FILTER-SMD_1206-2P-L3.2-W1.6-L","791-RFANT3216120A5T","1"
"Y2","40MHz, X252040MMB4SI","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","520-400-18-33JGN-TR3","1"
"U14","ADXL343","Package_LGA:LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y","584-ADXL343BCCZ-R7","1"
"U13","MCP9701T-E/TT","Package_TO_SOT_SMD:SOT-23","579-MCP9701T-E/TT","1"
"U11","SHT4x","Sensor_Humidity:Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad","403-SHT40-AD1B-R2","1"
"U10","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","511-USBLC6-2SC6","1"
"U8","WIZFI360-PA","External_Library:WIFIM-SMD_WIZFI360-PA","950-WIZFI360-PA","1"
"U5","AP63203WU","Package_TO_SOT_SMD:TSOT-23-6","621-AP63203WU-7","1"
"TH1","Thermistor_NTC 10k","Resistor_SMD:R_0805_2012Metric","588-TX08F103F3435ER","1"
"L2","3.3uH","External_Library:LMLP0506M3R3DTAS_AVX","581-LMLP0506M3R3DTAS","1"
"L1","2.4nH","Inductor_SMD:L_0402_1005Metric","815-ATFC-0402-2N4B","1"
"J6","MSD-4-A","External_Library:CUI_MSD-4-A","179-MSD-4-A","1"
"J1,J5","USB4105-GF-A","External_Library:GCT_USB4105-GF-A","640-USB4105-GF-A","2"
"D1","Inolux_IN-PI554FCH","LED_SMD:LED_Inolux_IN-PI554FCH_PLCC4_5.0x5.0mm_P3.2mm","743-IN-PI554FCH","1"
